16,0,0,3,yes
53,0,0,0,yes
13,0,4,0,yes
11,0,4,0,yes
4,0,4,0,yes
21,2,2,0,yes
17,0,0,0,yes
116,0,0,0,yes
91,2,0,3,yes
137,2,0,0,yes
42,0,0,2,yes
109,0,0,0,yes
16,0,3,0,yes
5,0,2,0,yes
121,0,0,0,yes
4,0,3,0,yes
14,0,3,0,yes
7,0,6,0,yes
39,0,0,3,yes
8,2,2,0,yes
6,0,1,0,yes
5,0,3,0,yes
9,0,1,0,yes
746,1,8,21,yes
12,0,6,0,yes
19,0,7,0,yes
21,0,0,0,yes
44,0,0,1,yes
19,0,0,0,yes
2,0,0,0,yes
8,0,4,0,yes
17,0,0,1,yes
19,1,0,4,yes
126,0,0,0,yes
13,0,0,0,yes
9,0,5,0,yes
33,0,0,0,yes
22,0,0,0,yes
4,1,0,0,yes
15,0,4,0,yes
30,1,2,0,yes
7,0,1,0,yes
10,0,8,0,yes
1,0,0,0,yes
40,0,0,1,yes
9,0,4,0,yes
16,0,8,0,yes
33,0,0,1,yes
418,0,0,12,yes
3,0,0,0,yes
5,0,1,0,yes
47,0,0,0,yes
28,0,0,3,yes
294,4,2,4,yes
154,0,1,5,yes
21,0,0,0,yes
435,0,1,4,yes
31,0,0,0,yes
16,0,1,0,yes
79,0,0,8,yes
12,0,0,2,yes
58,0,0,6,yes
19,0,0,0,yes
30,3,0,2,yes
16,0,0,0,yes
6,0,0,0,yes
8,0,2,0,yes
214,0,3,7,yes
6,0,3,0,yes
14,0,0,1,yes
1,0,0,0,yes
5,0,4,0,yes
39,0,0,1,yes
25,0,0,0,yes
45,0,0,1,yes
138,0,1,4,yes
12,0,1,2,yes
159,0,0,0,yes
15,0,0,1,yes
272,0,0,3,yes
26,0,0,0,yes
11,0,6,0,yes
110,0,0,1,yes
45,3,3,0,yes
8,0,4,0,yes
19,2,0,1,yes
27,0,1,1,yes
16,1,0,0,yes
59,0,0,2,yes
9,0,0,0,yes
7,0,2,0,yes
4,0,4,0,yes
67,0,0,1,yes
31,0,0,1,yes
11,0,4,0,yes
153,0,0,0,yes
13,0,0,0,yes
15,0,4,0,yes
3,0,1,0,yes
2,0,0,0,yes
99,1,0,5,yes
2,0,1,0,yes
4,0,1,0,yes
11,0,2,0,yes
44,0,0,0,yes
87,0,0,0,yes
44,0,0,3,yes
182,0,0,4,yes
39,0,0,2,yes
6,0,0,0,yes
39,0,0,2,yes
73,0,0,3,yes
46,3,0,0,yes
